"","open","high","low","close"
"2008-03-31",3465.91,3555.82,3445.56,3472.71
"2008-04-07",3418.52,3613.48,3386.51,3599.62
"2008-04-14",3419.05,3427.88,3285.3,3296.67
"2008-04-21",3305.15,3305.17,3073.56,3116.98
"2008-04-28",3497.38,3530.91,3460.25,3474.72
"2008-05-05",3739.8,3768.22,3696.7,3761.01
"2008-05-12",3548.61,3668.86,3521.88,3626.98
"2008-05-19",3615.59,3624.84,3563.61,3604.76
"2008-05-26",3442.29,3443.99,3361.99,3364.54
"2008-06-02",3426.2,3483.61,3400.72,3459.04
"2008-06-06",3362,3371.28,3312.72,3329.67
"2008-06-16",2876.29,2917.81,2811.72,2874.1
"2008-06-23",2780.15,2813.14,2741.19,2760.42
"2008-06-30",2724.4,2766.8,2693.4,2736.1
"2008-07-07",2673.55,2801.53,2673.55,2792.4
"2008-07-14",2837.5,2895.3,2828.24,2878.26
"2008-07-21",2759.88,2865.06,2745.64,2861.42
"2008-07-28",2883.76,2924.45,2883.76,2903.01
"2008-08-04",2782.99,2793.26,2738.85,2741.74
"2008-08-11",2595.89,2601.5,2453.71,2470.07
"2008-08-18",2451.78,2455.5,2318.93,2319.87
"2008-08-25",2408.09,2443.99,2382.29,2413.37
"2008-09-01",2380.47,2380.47,2311.73,2325.13
"2008-09-08",2210.34,2220.55,2135.37,2143.42
"2008-09-12",2077.55,2104.63,2064.29,2079.67
"2008-09-22",2241.72,2269.73,2164.8,2236.41
"2008-09-26",2304.12,2310.45,2246.28,2293.78
"2008-10-06",2267.39,2267.39,2172.57,2173.74
"2008-10-13",1978.56,2074.47,1931.47,2073.57
"2008-10-20",1924.18,1979.84,1890.92,1974.01
"2008-10-27",1809.23,1809.23,1721.6,1723.35
"2008-11-03",1713.76,1750.32,1702.98,1719.77
"2008-11-10",1782.31,1876.16,1782.31,1874.8
"2008-11-17",1981.26,2031.1,1963.85,2030.49
"2008-11-24",1961.21,1974.47,1893.34,1897.06
"2008-12-01",1865.74,1895.76,1838.1,1894.62
"2008-12-08",2049.16,2091.28,2038.19,2090.77
"2008-12-15",1977.03,1989.3,1936.56,1964.37
"2008-12-22",2016.45,2016.45,1965.35,1987.76
"2008-12-29",1846.3,1856.33,1815.41,1850.48
"2009-01-05",1849.02,1880.72,1844.09,1880.72
"2009-01-12",1897.7,1924.44,1886.83,1900.35
"2009-01-19",1971,2018.51,1966.19,1986.67
"2009-01-23",2001.17,2008.79,1986.35,1990.66
"2009-02-02",2008.13,2012.74,1987.13,2011.68
"2009-02-09",2211.32,2238.89,2196.71,2224.71
"2009-02-16",2338.76,2389.88,2328.18,2389.39
"2009-02-23",2249.29,2313.59,2219.71,2305.78
"2009-03-02",2066.23,2102.11,2052.99,2093.45
"2009-03-09",2205.75,2232.67,2116.45,2118.75
"2009-03-16",2122.41,2158.9,2108.61,2153.29
"2009-03-23",2286.25,2329.18,2276.81,2325.48
"2009-03-30",2377.96,2380.19,2348.53,2358.04
"2009-04-03",2446.12,2456.81,2406.5,2419.78
"2009-04-13",2468.08,2522.45,2464.06,2513.7
"2009-04-20",2500.17,2559.04,2497.32,2557.46
"2009-04-27",2443.44,2452.93,2393.16,2405.35
"2009-05-04",2486.69,2560.54,2486.23,2559.91
"2009-05-11",2646.29,2663.95,2579.75,2579.75
"2009-05-18",2632.57,2656.84,2589.61,2652.78
"2009-05-25",2555.34,2618.36,2538.62,2610.01
"2009-06-01",2668.4,2726.72,2668.4,2721.28
"2009-06-08",2753.35,2795.15,2729.03,2768.34
"2009-06-15",2743.03,2790.98,2727.74,2789.55
"2009-06-22",2900.57,2923.24,2884.13,2896.3
"2009-06-29",2930.31,2976.92,2918.39,2975.31
"2009-07-06",3091.48,3128.31,3090.1,3124.67
"2009-07-13",3098.96,3112.88,3076.3,3080.56
"2009-07-20",3203.89,3269.18,3192.9,3266.92
"2009-07-27",3377.72,3435.93,3376.29,3435.21
"2009-08-03",3429.69,3465.17,3398.45,3462.59
"2009-08-10",3287.76,3307.89,3201.06,3249.76
"2009-08-17",2994.87,3020.26,2867.39,2870.63
"2009-08-24",2982.19,3004.9,2944.92,2993.43
"2009-08-31",2817.63,2817.63,2663,2667.75
"2009-09-07",2877.62,2919.35,2860,2881.12
"2009-09-14",2990.93,3033.08,2984.84,3026.74
"2009-09-21",2937.93,2968.7,2871.65,2967.01
"2009-09-28",2844.37,2857.95,2752.77,2763.52
"2009-09-30",2772.57,2803.86,2763.71,2779.43
"2009-10-12",2927.02,2932.08,2893.57,2894.48
"2009-10-19",2974.64,3039.61,2962.31,3038.27
"2009-10-26",3114.29,3123.36,3083.18,3109.57
"2009-11-02",2933.82,3077.91,2923.52,3076.65
"2009-11-09",3162.15,3176.66,3141.77,3175.59
"2009-11-16",3206.43,3275.55,3206.43,3275.05
"2009-11-23",3312.97,3339.3,3305.5,3338.66
"2009-11-30",3114.29,3195.88,3114.29,3195.3
"2009-12-07",3313.06,3334.01,3302.13,3331.9
"2009-12-14",3246.95,3315.03,3178.23,3302.9
"2009-12-21",3108.07,3123.99,3088,3122.97
"2009-12-28",3148.86,3202.09,3148.86,3188.78
"2010-01-04",3289.75,3295.28,3243.32,3243.76
"2010-01-11",3301.61,3306.75,3197.33,3212.75
"2010-01-18",3213.64,3238.24,3202.21,3237.1
"2010-01-25",3103.32,3137,3092.93,3094.41
"2010-02-01",2981.37,2981.37,2912.89,2941.36
"2010-02-08",2936.45,2954.27,2922.19,2935.17
"2010-02-12",2996.09,3018.86,2993.44,3018.13
"2010-02-22",3016.7,3026.66,3002.81,3003.4
"2010-03-01",3057.01,3093.1,3054.55,3087.84
"2010-03-08",3036.42,3058.83,3030.91,3053.23
"2010-03-15",3010.72,3013.52,2963.49,2976.94
"2010-03-22",3069.66,3083.35,3061.76,3074.58
