"","hmm_str","shangzheng"
"2014-04-14",0.0353161747205937,0.0353161747205937
"2014-04-21",0,-0.0308274768477251
"2014-04-28",0,-0.0301767328386169
"2014-05-05",0,0.0119092184138678
"2014-05-12",0,0.0125878610008139
"2014-05-19",0,-0.0232308913862056
"2014-05-26",0,0.0181031129374918
"2014-05-30",0,-0.00111193839763313
"2014-06-09",0,-0.00427126191024962
"2014-06-16",0,0.0273233193794631
"2014-06-23",0,-0.0295352783823432
"2014-06-30",0,0.0118357810084124
"2014-07-07",0,0.00566314998071604
"2014-07-14",0,0.00326224677537601
"2014-07-21",0,-0.00588875716739656
"2014-07-28",0.0600979323235076,0.0600979323235076
"2014-08-04",0.0208361073486536,0.0208361073486536
"2014-08-11",0.000593704038536869,0.000593704038536869
"2014-08-18",0.0066617220686398,0.0066617220686398
"2014-08-25",0,-0.0045546490910795
"2014-09-01",0.00279912258272907,0.00279912258272907
"2014-09-05",0.0406708088981931,0.0406708088981931
"2014-09-15",0.00546330643948023,0.00546330643948023
"2014-09-22",-0.021063296767188,-0.021063296767188
"2014-09-29",0.0296261359815186,0.0296261359815186
"2014-09-30",0.00261270470074759,0.00261270470074759
"2014-10-13",0.000905295130442907,0.000905295130442907
"2014-10-20",0,-0.00392221503713008
"2014-10-27",0,-0.0281279569573095
"2014-11-03",0.0609446219940275,0.0609446219940275
"2014-11-10",0.0179586260251932,0.0179586260251932
"2014-11-17",0.000137447598103302,0.000137447598103302
"2014-11-24",0.0237953767365531,0.0237953767365531
"2014-12-01",0,0.0581472474021667
"2014-12-08",0,0.1268954092293
"2014-12-15",0,-0.0221305450524127
"2014-12-22",0,0.0589249073954941
"2014-12-29",0,0.0129722297718589
"2015-01-05",0,0.057606959552023
"2015-01-12",0,-0.0361734894881988
"2015-01-19",0,-0.0349825969553963
"2015-01-26",0,0.0856226033661174
"2015-02-02",0,-0.0753374044537978
"2015-02-09",0,-0.0106063996419782
"2015-02-16",0,0.0411098761921993
"2015-02-17",0.00761863975471377,0.00761863975471377
"2015-03-02",0.0275246311108102,0.0275246311108102
"2015-03-09",-0.0101520256093615,-0.0101520256093615
"2015-03-16",0.0444796375979968,0.0444796375979968
"2015-03-23",0.0691241701214738,0.0691241701214738
"2015-03-30",0.0268023960539412,0.0268023960539412
