date, jiaotongyunshu , xiuxianfuwu , meiti , gonggongshiye  , nonglinmuyu , huagong , yiyaoshengwu , shangyemaoyi , guofangjungong , jiayongdianqi  , jianzhucailiao  , jianzhuzhuangshi  , fangdichan  , yousejinshu , jixiezhizao , qiche , dianzi , dianqishebei , fangzhifuzhuang , zonghe , jisuanji , qingongzhizao  , tongxin  , caijue , gangtie , yinhang  , feiyinjinrong  , shipinyinliao  
04/21/00,1386.56,1486.29,411.48,1469.49,1574.37,1322.21,1390.09,1481.04,364.57,1234.96,1539.66,1498.7,1423.42,1351,375.72,1271.52,1415.85,1342.89,1405.93,1423.89,1348.99,1366.05,1314.24,1478.6,1312.98,1057.99,580.75,1297.52
04/24/00,1372.77,1469.79,406.56,1461.79,1576.25,1321.98,1374.36,1484.62,361.04,1219,1546.9,1501.46,1425.73,1357.53,373.73,1269.03,1403.52,1312.47,1399.71,1425.15,1332.54,1351.38,1295.41,1482.85,1309.14,1044.37,575.01,1298.6
04/25/00,1379.21,1475.23,403.34,1456.79,1578.45,1328.53,1376,1483.16,364.94,1228.04,1549.87,1484.96,1411.96,1346.18,372.74,1254.48,1398.09,1333.59,1393.41,1411.53,1330.77,1350.36,1262.54,1475.96,1326.84,1049.15,583.04,1291.27
04/26/00,1380.74,1474.07,404.07,1449.09,1578.58,1324.39,1373.59,1484.37,361.3,1227,1552.09,1489.55,1408.93,1346.03,370.61,1270.13,1404.2,1331.46,1404.12,1397.8,1337.69,1348.69,1262.85,1486.22,1317.78,1067.9,581.91,1291.72
04/27/00,1365.46,1455.81,402.01,1425.59,1586.93,1300.04,1350.05,1471.54,347.24,1219.55,1545.61,1478.18,1386.57,1323.02,363.47,1244.32,1394.73,1310.51,1382.11,1384.66,1330.3,1328.12,1258.73,1465.83,1301.44,1050.38,566.99,1271.89
04/28/00,1385.25,1483.14,412.22,1446.34,1619.77,1314.99,1374.81,1489.95,350.4,1238.94,1577.9,1518.21,1411.46,1350.55,365.74,1255.63,1432.03,1330.49,1401.68,1402.45,1430.04,1347.92,1300.96,1484.73,1311.49,1064.9,574.61,1293.71
05/08/00,1406.56,1486.15,401.56,1460.84,1620.15,1316.54,1376.25,1483.64,347.99,1234.83,1574.99,1513.83,1414.24,1356.76,368.3,1260.89,1426.36,1328.63,1392.58,1403.81,1408.34,1343.07,1284.37,1515.99,1330.55,1055.52,587.43,1296.99
05/09/00,1382.91,1474.2,392.58,1443.32,1598.22,1299.38,1358.75,1457.56,343.05,1212.03,1545.64,1479.77,1388.61,1339.02,365.1,1232.69,1404.46,1310.03,1369.76,1388.1,1363.93,1329.91,1248.11,1483.85,1315,1031.4,574.13,1277.5
05/10/00,1333.03,1415.85,382.07,1398.34,1555.9,1254.33,1314.6,1410.03,331.97,1171.27,1497.48,1431.7,1341.8,1276.23,353.6,1194.23,1372.8,1273.95,1343.78,1349.13,1344.22,1286.6,1214.77,1446.6,1265.04,1016.75,548.5,1236.91
05/11/00,1307.31,1385.33,379.83,1366.59,1532.81,1234.54,1291.1,1391.87,326.08,1154.74,1469.33,1398.48,1315.09,1246.1,349.18,1164.03,1332.11,1235.85,1333.34,1319.58,1318.85,1256.08,1198.3,1421.62,1233.06,1009.72,539.77,1221.47
05/12/00,1306.64,1374.34,375.15,1366.24,1530.9,1233.28,1290.82,1386.41,324.84,1148.59,1471.86,1397.89,1310.9,1246.47,348.88,1160.69,1326.25,1224.5,1364.49,1322.42,1308.75,1247.58,1188.76,1430.88,1228.78,1011.41,536.63,1222.09
05/15/00,1303.51,1362.28,371.79,1342.69,1498.2,1219.5,1284.05,1378.57,319.14,1129.13,1466.25,1380.33,1288.52,1229.73,344.85,1141.3,1312.64,1202.78,1352.66,1314.3,1281.3,1238.29,1174.39,1446.42,1214.1,979.57,520.17,1216.76
05/16/00,1315.63,1384.79,371.38,1362.14,1505.7,1238.88,1301.47,1397.52,321.64,1143.74,1477.09,1397.62,1307.83,1249.02,348.31,1160.16,1329.69,1222.44,1363.75,1334.34,1306.79,1256.72,1192.89,1454.76,1237.54,990.54,524.46,1230.18
05/17/00,1322.95,1383.76,376.15,1368.05,1510.09,1234.83,1301.5,1394.01,325.45,1148.45,1474.71,1400.28,1308.66,1250.15,347.71,1158.9,1331.13,1215.07,1367.2,1341.75,1305.03,1250.55,1191.69,1456.51,1230.48,986.46,519.65,1229.55
05/18/00,1351.95,1427.68,379.58,1397.65,1539.45,1261.3,1328.41,1416.47,332.63,1161.49,1512.32,1424.71,1340.21,1277.18,355.12,1185.57,1354.36,1237.88,1406.7,1378.73,1320.96,1278.73,1211.63,1482.38,1275.07,994.61,525.86,1251.99
05/19/00,1365.58,1455.03,384.75,1422.35,1556.01,1280.05,1346.9,1441.57,332.19,1170.3,1529.48,1449.1,1361.13,1293.26,360.48,1192.02,1370.8,1241.67,1419.02,1393.33,1343.62,1301.37,1225.65,1513.35,1305.84,1001.12,536.85,1262.62
05/22/00,1399.75,1500.93,391.46,1465.93,1598.45,1312.62,1382.95,1479.89,339.78,1199.1,1563.9,1478.27,1400.74,1328.59,369.16,1214.79,1420.91,1275.41,1438.61,1433.56,1376.91,1334.46,1249.46,1570.37,1325.28,1010.16,556.85,1292.64
05/23/00,1406.05,1501.62,391.34,1454.87,1594.74,1314.73,1403.35,1477.49,343.2,1189.09,1573.99,1486.8,1398.42,1325.18,370.86,1217.02,1415.83,1280.51,1462.3,1431.32,1354.65,1330.58,1232.82,1590.14,1349.75,1010.08,550.63,1294.54
05/24/00,1419.98,1521.36,397.17,1465.15,1591.3,1328.88,1436.71,1495.85,343.64,1200.6,1574.61,1510.18,1419.91,1342.19,371.77,1235.61,1447.09,1281.47,1485.68,1449.73,1379.48,1352.92,1252.47,1599.29,1359.34,1008.94,551.17,1314.86
05/25/00,1443.55,1536.25,401.91,1477.96,1612.55,1353.51,1454.9,1521.34,354.45,1225.05,1596.36,1516.74,1439.4,1365.36,379.51,1256.61,1468.44,1304.33,1483.82,1464.15,1383.29,1385.06,1265.33,1660.43,1373.47,1039.57,564.1,1329.23
05/26/00,1441.23,1519.95,404.07,1477.32,1622.09,1348.83,1472.59,1513.6,349.87,1228.79,1589.99,1520.47,1434.47,1360.87,379.7,1255.25,1470.29,1300.92,1459.18,1460.45,1388.98,1389.14,1299.39,1700.93,1408.14,1022.1,552.62,1323.19
05/29/00,1450.71,1533.55,405.85,1495.73,1629.95,1372.25,1484.53,1520.14,354.47,1229.44,1598.85,1527.16,1448.57,1388.42,387.47,1281.81,1482.71,1323.29,1476.34,1457.33,1408.28,1402.52,1307.5,1783.86,1417.72,1017.99,558.31,1329.45
05/30/00,1438.33,1526.96,397.69,1497.14,1618.91,1345.82,1460.62,1504.91,344.57,1212.49,1574.52,1516.68,1434.62,1367.66,385.44,1276.41,1479.69,1297.65,1449.04,1459.5,1393.18,1385.02,1280.89,1794.68,1404.36,1004.97,546.87,1312.2
