"","zz","hs","calcs","calcs.1"
"2007-01-29",2260.6,2576.92,0.979888433734822,-0.000790071859015389
"2007-01-30",2255.94,2551.88,0.965760079811244,-0.000357440114494539
"2007-01-31",2142.89,2385.33,0.910746995306922,0.000542954694768216
"2007-02-01",2165.4,2395.17,0.917621989756084,0.000958695609762282
"2007-02-02",2127.1,2298,0.873729521768721,0.00183060300648508
"2007-02-05",2152.25,2271.8,0.855726798792933,0.00227965702797496
"2007-02-06",2198.24,2316.04,0.85652863728378,0.00237852970110034
"2007-02-07",2237.94,2369.79,0.852120404609995,0.00232494974026902
"2007-02-08",2278.45,2410.6,0.862239801377882,0.00269667589375377
"2007-02-09",2287.38,2397.25,0.853293772064476,0.00338497160396294
"2007-02-12",2341.07,2485.39,0.849376908991014,0.00358081682967075
"2007-02-13",2384.16,2522.63,0.839456993102561,0.00446008391840503
"2007-02-14",2435.96,2588.35,0.85528763382306,0.00476885043267275
"2007-02-15",2512.4,2668.63,0.858564284837526,0.00531267149085988
"2007-02-16",2541.41,2676.74,0.863264245268046,0.00474405139685603
"2007-02-26",2642.11,2707.68,0.85066497530432,0.00511794821471663
"2007-02-27",2405.57,2457.49,0.913759021871652,0.00468230972653559
"2007-02-28",2513.53,2544.57,0.923236856247134,0.00496703261824645
"2007-03-01",2459.51,2473.54,0.929168087511808,0.00455821211620726
"2007-03-02",2503.68,2508.73,0.911909417845571,0.00520793075922908
"2007-03-05",2511.92,2475.61,0.901002245983976,0.00548508162653295
"2007-03-06",2516,2520.29,0.887107908020627,0.00475986168474048
"2007-03-07",2580.6,2589.44,0.886566864810824,0.00455635073081182
"2007-03-08",2634.88,2627.63,0.888500840520704,0.00410238914994394
"2007-03-09",2638.05,2611.39,0.886197367807475,0.00415631370191772
"2007-03-12",2696.5,2616.17,0.876219247359194,0.00450189621769339
"2007-03-13",2727.46,2640.17,0.877588115108428,0.00476975780823226
"2007-03-14",2708.69,2597.36,0.877785902526326,0.0050214717488416
"2007-03-15",2760.84,2645.55,0.84159307819581,0.00586040302203553
"2007-03-16",2710.86,2604.23,0.868718151852301,0.006154224456371
"2007-03-19",2751.48,2659.41,0.855329577868957,0.00566400768946485
"2007-03-20",2810.71,2672.77,0.857073620775949,0.00602658384204056
"2007-03-21",2859.01,2702.6,0.856897533429396,0.00608715895066433
"2007-03-22",2861.15,2711.32,0.857430419523144,0.00578524259135502
"2007-03-23",2898,2716.27,0.886133056832472,0.00542336133175566
"2007-03-26",2989.05,2764.03,0.909954527066213,0.00505704317516811
"2007-03-27",3039.53,2784.02,0.911262331257949,0.00527057739164693
"2007-03-28",3004.29,2797.65,0.921052030908175,0.00478119139332495
"2007-03-29",2894.78,2783.3,0.945018116642458,0.00352688676137147
